pid,Advt,Response
1,Advt,improve
2,Advt,improve
3,noAdvt,improve
4,Advt,improve
5,Advt,noimprove
6,Advt,noimprove
7,noAdvt,noimprove
8,Advt,noimprove
9,noAdvt,improve
10,Advt,improve
11,noAdvt,improve
12,noAdvt,noimprove
13,noAdvt,noimprove
14,noAdvt,noimprove
15,noAdvt,improve
16,noAdvt,improve
17,Advt,improve
18,Advt,improve
19,noAdvt,noimprove
20,noAdvt,noimprove
21,Advt,noimprove
22,noAdvt,noimprove
23,Advt,noimprove
24,noAdvt,improve
25,Advt,improve
26,Advt,improve
27,noAdvt,noimprove
28,noAdvt,improve
29,Advt,noimprove
30,Advt,improve
31,noAdvt,noimprove
32,noAdvt,noimprove
33,Advt,improve
34,noAdvt,improve
35,Advt,noimprove
36,noAdvt,improve
37,Advt,improve
38,noAdvt,noimprove
39,noAdvt,improve
40,Advt,improve
41,noAdvt,improve
42,noAdvt,improve
43,noAdvt,noimprove
44,noAdvt,improve
45,noAdvt,improve
46,Advt,improve
47,Advt,noimprove
48,noAdvt,noimprove
49,Advt,improve
50,Advt,improve
51,noAdvt,noimprove
52,Advt,improve
53,noAdvt,improve
54,Advt,improve
55,Advt,improve
56,noAdvt,improve
57,Advt,improve
58,noAdvt,noimprove
59,Advt,improve
60,Advt,improve
61,Advt,improve
62,noAdvt,improve
63,Advt,noimprove
64,Advt,noimprove
65,noAdvt,improve
66,noAdvt,improve
67,noAdvt,improve
68,noAdvt,noimprove
69,noAdvt,noimprove
70,Advt,improve
71,Advt,noimprove
72,noAdvt,noimprove
73,Advt,noimprove
74,noAdvt,improve
75,noAdvt,noimprove
76,noAdvt,noimprove
77,Advt,noimprove
78,noAdvt,improve
79,Advt,improve
80,Advt,improve
81,Advt,improve
82,noAdvt,noimprove
83,Advt,improve
84,noAdvt,noimprove
85,Advt,improve
86,noAdvt,improve
87,noAdvt,noimprove
88,Advt,improve
89,noAdvt,noimprove
90,Advt,improve
91,noAdvt,noimprove
92,noAdvt,improve
93,Advt,noimprove
94,Advt,noimprove
95,noAdvt,noimprove
96,Advt,improve
97,noAdvt,improve
98,Advt,improve
99,noAdvt,noimprove
100,noAdvt,improve
101,Advt,improve
102,Advt,improve
103,noAdvt,noimprove
104,Advt,improve
105,noAdvt,noimprove
